grid_id,total_trips,sum_of_passengers,sum_of_costs,sum_of_tips,count_of_payment_by_card,count_of_payment_by_cash,sum_of_duration_in_seconds,grid_index
CH-104,98246,158507,1626067.55,163260.12,58671,38592,96807013,3364
CI-104,25229,41257,436568.81,45629.2,15479,9526,25247337,3365
CJ-104,14480,23571,220218.26,23650.85,8779,5570,13077404,3366
CK-104,7829,12594,119953.97,11800.43,4354,3383,6696120,3367
CL-104,7483,12403,106254.22,10085.09,4209,3207,6096131,3368
CM-104,5842,9269,82002.01,7580.47,3077,2688,5213529,3369
CN-104,3020,5029,48020.74,5180.58,1816,1152,2949357,3370
CO-104,2507,3924,38061.04,3383.17,1270,1184,2327359,3371
CP-104,1773,2888,27561.98,2742.61,928,811,1556445,3372
CQ-104,724,1155,11855.74,1035.13,365,347,699554,3373
CR-104,681,1091,12904.96,1458.42,399,266,873528,3374
CS-104,731,1188,12843.52,1225.08,375,332,700799,3375
CT-104,883,1428,18039.84,2173.93,489,375,920023,3376
CU-104,132,199,2561.13,246.01,65,60,123662,3377
CV-104,35,65,1198.46,195.59,23,11,62519,3378
CW-104,87,128,2242.5,106.17,33,32,132009,3379
CX-104,71,103,1886.24,198.2,34,34,104708,3380
CY-104,246,465,6784.49,626.43,114,124,298460,3381
CZ-104,66,100,1331.7,135.28,26,39,148102,3382
DA-104,101,175,2823.69,119.61,43,53,200465,3383
DB-104,148,256,2938.32,276.84,63,79,131757,3384
DC-104,59,93,1078.5,73.68,18,40,52495,3385
DD-104,134,237,4205.01,401.06,60,70,173043,3386
DE-104,434,721,11321.23,916.89,187,237,480552,3387
DF-104,57,91,1141.26,93.96,28,25,47762,3388
DG-104,44,100,985.15,96.32,26,17,125942,3389
DH-104,649,2758,15011.98,1772.59,462,187,756436,3390
DI-104,63,220,1571.89,130.52,33,30,72108,3391
DJ-104,76,215,1893.11,192.01,43,30,95832,3392
DK-104,6035,10439,377552.07,37840.94,3594,2316,16460587,3393
DL-104,47,61,1619.13,93.72,20,27,71453,3394
DM-104,140,184,5167.57,378.83,96,34,221743,3395
DN-104,27,46,680.56,48.89,15,8,37232,3396
DO-104,38,71,1340.11,153.06,28,8,74064,3397
DP-104,8,15,217.41,24.01,4,3,8101,3398
DQ-104,25,33,691.2,9.7,10,12,25134,3399
DR-104,27,42,655.32,76.68,18,8,27476,3400
DS-104,18,36,452.13,49.19,9,8,19207,3401
DT-104,10,14,229.75,10.75,4,6,24431,3402
DU-104,35,40,791.44,102.42,30,5,36605,3403
DV-104,8,17,239.28,2.3,2,6,9632,3404
DW-104,3,6,153.74,9.8,3,0,6173,3405
DX-104,14,18,406.06,10.82,2,9,16096,3406
DY-104,7,11,234.66,20.56,4,1,4987,3407
DZ-104,2,2,22.16,1.56,1,1,1556,3408
