grid_id,total_trips,sum_of_passengers,sum_of_costs,sum_of_tips,count_of_payment_by_card,count_of_payment_by_cash,sum_of_duration_in_seconds,grid_index
DX-75,2,2,188.6,0,0,2,7612,8729
EB-75,9,14,715.72,44.72,4,3,23117,8730
EC-75,49,85,3915.8,455.36,31,16,116065,8731
ED-75,33,40,3259.67,229.9,23,10,86861,8732
EE-75,189,299,17870.83,2904.53,150,36,468324,8733
EF-75,28,41,2301.12,181.6,14,12,60909,8734
EG-75,12,16,1127.34,126.24,8,4,27576,8735
EL-75,4,4,401.84,42.64,2,2,14146,8736
EM-75,4,5,328.2,25,2,2,10447,8737
EN-75,4,13,491.55,60.85,3,1,9390,8738
EO-75,19,26,1726.44,192.2,12,6,41783,8739
EP-75,16,20,2094.22,319.69,14,2,47528,8740
EQ-75,3,5,222.15,13.25,2,1,4923,8741
ES-75,3,3,338.36,42.96,3,0,6725,8742
ET-75,11,12,1292.38,95.96,8,3,34956,8743
EU-75,4,4,605.82,77,3,1,14160,8744
EV-75,6,7,599.44,103.14,4,2,17160,8745
EW-75,3,10,257.4,0,0,3,7166,8746
EY-75,2,3,161.1,0,0,2,4624,8747
EZ-75,1,1,123.8,10,1,0,1843,8748
FA-75,2,3,178.1,0,1,1,6555,8749
FH-75,3,5,397.78,20.88,3,0,92320,8750
FI-75,2,2,254.26,25.66,1,1,5478,8751
FJ-75,5,6,699.65,81.57,5,0,14205,8752
FK-75,4,8,536.46,81.26,3,1,9023,8753
FL-75,3,4,404.6,36.2,3,0,8217,8754
FM-75,1,1,120.8,15,1,0,2379,8755
FN-75,2,3,219.6,0,0,2,4751,8756
FQ-75,2,3,238.06,36.96,2,0,4838,8757
FR-75,2,2,192.76,31.16,1,0,141,8758
FS-75,2,2,331.14,95,2,0,4797,8759
FT-75,1,1,178.3,10,1,0,3063,8760
FU-75,2,2,325.6,0,2,0,4107,8761
FV-75,1,1,126.3,0,1,0,2669,8762
FW-75,1,6,132.8,0,1,0,2320,8763
FX-75,2,3,253.64,10,2,0,6139,8764
FY-75,1,2,110.8,0,1,0,3312,8765
FZ-75,1,1,154.3,0,0,1,5126,8766
GA-75,1,1,0.3,0,0,1,3115,8767
GC-75,2,3,298.1,58,2,0,6828,8768
GD-75,2,6,274.64,0,1,1,5617,8769
GG-75,2,2,281.76,31.16,1,1,5807,8770
GH-75,3,3,478.9,25,3,0,8576,8771
GI-75,4,10,470.46,17.76,1,3,11793,8772
GL-75,4,4,456.75,20,2,2,16065,8774
GO-75,1,1,222.8,10,1,0,2733,8775
GR-75,1,3,201.95,33.65,1,0,2801,8776
GT-75,3,13,558.4,21,3,0,7295,8777
GV-75,1,1,100.3,0,0,1,3362,8778
GZ-75,1,1,123.8,0,0,1,4276,8780
HB-75,1,1,200.8,0,0,1,6941,8781
HE-75,2,5,217.26,2.66,1,1,4590,8782
HJ-75,1,1,288.36,48.06,1,0,2796,8784
HL-75,2,2,461.59,51.45,2,0,8601,8785
HQ-75,1,1,202.3,0,1,0,3011,8786
HU-75,1,1,170.3,0,1,0,2854,8787
IC-75,1,2,0.3,0,0,0,65,8788
ID-75,2,2,150.71,0.11,1,0,3978,8789
IG-75,1,2,0.3,0,0,1,6292,8790
A-74,1,1,0.3,0,0,0,5748,8791
B-74,4,4,880.16,50.06,2,2,17353,8792
